arch,dtype,state_dtype,b,sq,num_k_heads,num_v_heads,head_k_dim,head_v_dim,NUM_BLOCKS_PER_V_DIM,NUM_WARPS,WARP_THREADS_K,duration
gfx942,torch.bfloat16,torch.bfloat16,1,1,4,8,128,128,8,4,16,5.418999999999869
gfx942,torch.bfloat16,torch.bfloat16,2,1,4,8,128,128,4,4,8,6.139000000000124
gfx942,torch.bfloat16,torch.bfloat16,3,1,4,8,128,128,4,4,8,7.238999999999578
gfx942,torch.bfloat16,torch.bfloat16,4,1,4,8,128,128,2,4,4,8.118999999999687
gfx942,torch.bfloat16,torch.bfloat16,5,1,4,8,128,128,4,4,16,8.618999999999687
gfx942,torch.bfloat16,torch.bfloat16,6,1,4,8,128,128,1,4,4,10.03899999999976
gfx942,torch.bfloat16,torch.bfloat16,7,1,4,8,128,128,1,4,4,10.539000000000215
gfx942,torch.bfloat16,torch.bfloat16,8,1,4,8,128,128,1,4,4,10.958999999999833
gfx942,torch.bfloat16,torch.bfloat16,9,1,4,8,128,128,1,4,4,11.079000000000178
gfx942,torch.bfloat16,torch.bfloat16,10,1,4,8,128,128,1,4,4,11.799000000000433
gfx942,torch.bfloat16,torch.bfloat16,11,1,4,8,128,128,1,4,4,13.559000000000196
gfx942,torch.bfloat16,torch.bfloat16,12,1,4,8,128,128,1,4,8,13.81899999999996
gfx942,torch.bfloat16,torch.bfloat16,13,1,4,8,128,128,1,4,8,14.139000000000124
gfx942,torch.bfloat16,torch.bfloat16,14,1,4,8,128,128,1,4,8,14.25899999999956
gfx942,torch.bfloat16,torch.bfloat16,15,1,4,8,128,128,1,4,8,14.239000000000033
gfx942,torch.bfloat16,torch.bfloat16,16,1,4,8,128,128,1,4,8,14.498999999999796
gfx942,torch.bfloat16,torch.bfloat16,17,1,4,8,128,128,1,4,4,14.59900000000016
gfx942,torch.bfloat16,torch.bfloat16,18,1,4,8,128,128,1,4,4,14.519000000000233
gfx942,torch.bfloat16,torch.bfloat16,19,1,4,8,128,128,1,4,4,14.739000000000033
gfx942,torch.bfloat16,torch.bfloat16,20,1,4,8,128,128,1,4,4,14.919000000000324
gfx942,torch.bfloat16,torch.bfloat16,21,1,4,8,128,128,1,4,8,16.659000000000106
gfx942,torch.bfloat16,torch.bfloat16,22,1,4,8,128,128,1,4,8,17.15899999999965
gfx942,torch.bfloat16,torch.bfloat16,23,1,4,8,128,128,1,4,8,17.619000000000142
gfx942,torch.bfloat16,torch.bfloat16,24,1,4,8,128,128,1,4,8,17.99900000000025
gfx942,torch.bfloat16,torch.bfloat16,25,1,4,8,128,128,1,4,8,18.240000000000236
gfx942,torch.bfloat16,torch.bfloat16,26,1,4,8,128,128,1,4,8,18.398999999999887
gfx942,torch.bfloat16,torch.bfloat16,27,1,4,8,128,128,1,4,8,18.478999999999814
gfx942,torch.bfloat16,torch.bfloat16,28,1,4,8,128,128,1,4,8,18.69900000000007
gfx942,torch.bfloat16,torch.bfloat16,29,1,4,8,128,128,1,4,8,18.798999999999978
gfx942,torch.bfloat16,torch.bfloat16,30,1,4,8,128,128,1,4,8,19.218999999999596
gfx942,torch.bfloat16,torch.bfloat16,31,1,4,8,128,128,1,4,8,21.49900000000025
gfx942,torch.bfloat16,torch.bfloat16,32,1,4,8,128,128,1,4,8,21.619000000000142
gfx942,torch.bfloat16,torch.bfloat16,33,1,4,8,128,128,1,4,8,21.759000000000015
gfx942,torch.bfloat16,torch.bfloat16,34,1,4,8,128,128,1,4,8,22.059000000000196
gfx942,torch.bfloat16,torch.bfloat16,35,1,4,8,128,128,1,4,8,21.839000000000397
gfx942,torch.bfloat16,torch.bfloat16,36,1,4,8,128,128,1,4,8,22.15900000000056
gfx942,torch.bfloat16,torch.bfloat16,37,1,4,8,128,128,1,4,8,22.118999999999687
gfx942,torch.bfloat16,torch.bfloat16,38,1,4,8,128,128,1,4,8,22.179000000000087
gfx942,torch.bfloat16,torch.bfloat16,39,1,4,8,128,128,1,4,8,23.039000000000215
gfx942,torch.bfloat16,torch.bfloat16,40,1,4,8,128,128,1,4,8,23.69900000000007
gfx942,torch.bfloat16,torch.bfloat16,41,1,4,8,128,128,1,4,8,26.71900000000005
gfx942,torch.bfloat16,torch.bfloat16,42,1,4,8,128,128,1,4,8,27.05899999999974
gfx942,torch.bfloat16,torch.bfloat16,43,1,4,8,128,128,1,4,8,27.179000000000087
gfx942,torch.bfloat16,torch.bfloat16,44,1,4,8,128,128,1,4,8,27.27900000000045
gfx942,torch.bfloat16,torch.bfloat16,45,1,4,8,128,128,1,4,8,27.140000000000327
gfx942,torch.bfloat16,torch.bfloat16,46,1,4,8,128,128,1,4,8,27.259999999999764
gfx942,torch.bfloat16,torch.bfloat16,47,1,4,8,128,128,1,4,8,27.739000000000033
